회사명,공고제목,직무분야,근무지,경력/고용형태,학력,마감일,등록일,공고URL
(주)리앤파트너,[국내최대 가상자산거래소 기업] 프론트엔드 개발실장 (정규직),"React, TypeScript, Vue.js, 프론트엔드",서울 서초구,경력 15년↑ · 정규직,대학교(4년)↑,~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776609
(주)위로,[(주)위로] 미용의료기기 하드웨어 개발 경력자,"기술지원, 펌웨어, H/W, 연구원, 기술연구",경기 안양시 동안구 외,3 ~ 13년 · 정규직,"대학(2,3년)↑",상시채용,2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776581
(주)스포잇,웹 풀스택 개발자 (2년 이상),"백엔드/서버개발, 웹개발, 프론트엔드, 딥러닝, 머신러닝",서울 구로구,경력 2년↑ · 정규직,대학교(4년)↑,채용시,2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776554
(주)헬로서치,업계 1위 대기업 ERP컨설팅/IT컨설팅/PI 대리-차장급(0명),"IT컨설팅, SAP, ABAP, 시스템설계, 품질관리",서울 강남구,경력 5년↑ · 정규직,대학교(4년)↑,~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776507
(주)헬로서치,국내 1군 게임사 AI센터 R&D 실장급 모집,"딥러닝, 머신러닝, 빅데이터, 알고리즘, IoT",서울 강남구,경력 15년↑ · 정규직,대학교(4년)↑,~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776495
(주)헬로서치,SI 회사 IT인재 각각(00명),"백엔드/서버개발, 웹개발, QA/테스터, 인프라, 클라우드",서울 강남구,경력 3년↑ · 정규직,학력무관,~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776479
서울아산병원,서울아산병원  빅데이터센터 & 정보의학과 연구원 모집,"데이터분석가, 데이터마이닝, 머신러닝, AI(인공지능), Python",서울 송파구,경력무관 · 위촉직,"대학(2,3년)↑",~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776478
(주)헬로서치,코스피 상장 대기업 메타버스 월드 배경모델러 시니어급,"AR(증강현실), 그래픽디자인, 모바일디자인, 앱디자인, 콘텐츠디자인",서울 강남구,경력 5년↑ · 정규직,학력무관,~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776469
(주)윙소프트,"java 웹개발 경력,정규/전자간편결제시스템 ,웹페이지","백엔드/서버개발, 웹개발, 프론트엔드, Java",서울 금천구,경력 5년↑ · 정규직,고졸↑,상시채용,2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776459
(주)헬로서치,유명 IT기업 머신러닝 엔지니어 모집,"딥러닝, 머신러닝, 빅데이터, AI(인공지능), Docker",서울 강남구,경력 3년↑ · 정규직,학력무관,~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776458
(주)프로써치코리아,코스닥 상장사 판교 연구소 장비 SW 개발자(출장 X),"C언어, Java, Python, MCU, C++",경기 성남시 분당구,경력 3년↑ · 정규직,대학교(4년)↑,~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776457
(주)헬로서치,국내 10대 그룹계열사 WEB3 해외사업전략 및 분석 담당자 모집,"마케팅, 메타버스, 블록체인, SQL",서울 강남구,경력 3년↑ · 정규직,대학교(4년)↑,~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776450
(주)위드네트웍스,보안 솔루션 엔지니어 채용(경력),"보안컨설팅, 정보보안, CISO, Python, 유지보수",서울전체 외,3 ~ 5년 · 정규직,대학교(4년)↑,~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776436
(주)헬로서치,유명 1군 게임사 게임플랫폼 개발 담당자 모집,"WCF, .NET, C#, C++, WPF",서울 강남구,경력 3년↑ · 정규직,대학교(4년)↑,~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776433
에이치알제이(HRJ),미국계 반도체 장비회사 소프트웨어 엔지니어 팀원 모집,"기술지원, SE(시스템엔지니어), 임베디드, 정보통신, 컴퓨터비전",서울 서초구,경력 5년↑ · 정규직,대학교(4년)↑,~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776427
주식회사리얼월드에셋(RealworldassetInc),각 부문 신입/경력 채용,"블록체인, 영상디자이너, 영상자막, 영상제작, 영상편집",서울전체 외,신입 · 경력 · 정규직,학력무관,~02.28(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776426&adsCategoryItem=effect_bold&
(주)앤스시스템,"java 웹개발 경력,정규/전자간편결제시스템 ,웹페이지","백엔드/서버개발, 웹개발, 프론트엔드, Java, Javascript",서울 금천구,5 ~ 20년 · 정규직,학력무관,상시채용,2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776422
(주)모스트피플,[SK브로드밴드/방송국] SK여주위성센터 관제/송출/미디어,"기술지원, 정보보안, 네트워크, 통/번역, 영어",경기 여주시,경력무관 · 정규직 외,학력무관,~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776415
에이치알제이(HRJ),[AI 전문회사/ 서울시 강남구] R&D 연구소장(CTO),"데이터분석가, 데이터라벨링, 데이터마이닝, 데이터시각화, 딥러닝",서울 강남구,경력 10년↑ · 정규직,석사↑,~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776409
에이치알제이(HRJ),미국반도체 장비회사 Field Application Engineer(FAE/신입가능),"FAE, C#, C++, C언어, FLEX",서울 서초구,신입 · 경력 · 정규직,대학교(4년)↑,~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776399
(주)헬로서치,코스피 상장 대형게임사 NFT 사업PM(영어 가능자),"마케팅, 메타버스, 블록체인",서울 강남구,경력 5년↑ · 정규직,고졸↑,~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776398
에이치알제이(HRJ),미국계 반도체 장비회사 Strategic Business Development 매니저,"C#, C++, VisualBasic, VisualC·C++, 기술영업",서울 서초구,경력 10년↑ · 정규직,대학교(4년)↑,~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776396
