회사명,공고제목,직무분야,근무지,경력/고용형태,학력,마감일,등록일,공고URL
비댁스(주),가상자산 : QA 관리자/ 프로덕트 품질 관리자,"자산관리, 자산운용, 고객관리, 기업영업, 금융컨설팅",서울 강남구,경력 3년↑ · 정규직,대학교(4년)↑,~02.28(금),6시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807588
한국지멘스일렉트로닉디자인오토메이션(유),Associate Application Engineer - OPC 신입 채용,"기술지원, S/W, 반도체, C++, Linux",경기 성남시 분당구,신입 · 정규직,대학교(4년)↑,상시채용,6시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807574
(주)지오시스템리서치,㈜지오시스템리서치 공간정보 구축 및 자료처리 분야 채용,"데이터분석가, 데이터엔지니어, R&D, 무인항공기/드론, 측량/계측",경기 군포시,경력무관 · 정규직 외,대학교(4년)↑,~02.09(일),6시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807570
주식회사 크림,CV 분야 인공지능(AI) 연구원 채용,"머신러닝, 이미지프로세싱, 컴퓨터비전",서울전체 외,경력무관 · 정규직,대학교(4년)↑,채용시,6시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807554
이니텍(주),[KT그룹사] 솔루션 구축 및 기술지원 담당자 채용,"기술지원, 웹개발, 유지보수, SI개발, 네트워크",서울 구로구,2 ~ 7년 · 정규직,학력무관,~02.04(화),6시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807549
(주)멋쟁이사자처럼,[(주)멋쟁이자사처럼] KDT교육 UX/UI 디자인 강사,"퍼블리셔, UI/UX디자인, Figma, 디자인",서울 종로구 외,3 ~ 10년 · 프리랜서,"대학(2,3년)↑",~03.21(금),6시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807550
(주)태하,전자제어 H/W,"임베디드, H/W, MCU, 임베디드리눅스, 회로설계",경기전체 외,10 ~ 20년 · 정규직,"대학(2,3년)↑",~02.18(화),6시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807530
(주)태하,전자제어 S/W,"펌웨어, S/W, C++, C언어, 제조",경기전체 외,신입 · 경력 · 정규직,"대학(2,3년)↑",~02.18(화),6시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807527
(주)태하,제어설계(PC) 분야,"SE(시스템엔지니어), 모의해킹, S/W, Windows, C#",경기전체 외,5 ~ 15년 · 정규직,"대학(2,3년)↑",~02.18(화),6시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807524
(주)에스티이지,(주)STEG R&D 연구소 풀스택 개발자 채용 공고,"웹개발, 풀스택, 솔루션, R, React",서울 금천구,신입 · 정규직,"대학(2,3년)↑",~02.28(금),6시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807460
시너지파트너즈(주),긴급[생보사] AI Backend Engineer (정규직+계약직) 채용,"백엔드/서버개발, 유지보수, 클라우드, API, AWS",서울 영등포구,5 ~ 16년 · 정규직 외,대학교(4년)↑,~02.02(일),6시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807448
(주)주은정보시스템,하드웨어·소프트웨어(HW(하드웨어)外 2개 부문) 채용,"기술지원, 인프라, 트러블슈팅, H/W, VMware",서울 송파구,경력무관 · 정규직,학력무관,~02.19(수),6시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807447
엔터웨이파트너스,IT(Application manager)-유명 일본 반도체 기업,"C#, Java, SQL, 서비스기획, ERP",서울전체 외,경력(년수무관) · 정규직,대학교(4년)↑,~02.19(수),6시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807442
(주)메디아이플러스,"[경력] 서비스팀 / PO, 리더(팀장급) 채용","CPO, R&D기획, 임상개발, 임상시험, 제약/바이오",경기 성남시 수정구,4 ~ 10년 · 정규직,학력무관,~02.19(수),6시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807418
주식회사 더커리어,[백엔드엔지니어]글로벌대기업 투자 코스닥상장 과/차장급,"백엔드/서버개발, 프론트엔드, 모델링, API, RDBMS",서울 종로구,5 ~ 20년 · 정규직,대학교(4년)↑,~02.04(화),6시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807394
(주)미소정보기술,[미소정보기술] 앱 플랫폼 백오피스 개발자(경력자),"앱개발, 네트워크, 빅데이터, .NET, Java",서울 강남구,3 ~ 20년 · 정규직,"대학(2,3년)↑",~02.19(수),6시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807375
(주)아하,E/V 관련 시스템 소프트웨어 개발자 모집,"개발PM, RTOS, Windows, Android, C++",서울 강서구,1 ~ 10년 · 정규직,대학교(4년)↑,채용시,6시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807304
엔셀 주식회사,웹 개발자(수원/기흥/화성/인천/아산),"웹개발, Javascript, MongoDB, MySQL, Node.js",경기 성남시 분당구,경력 5년↑ · 계약직 외,대학교(4년)↑,~02.19(수),6시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807299
(주)스카우트,컨설팅 사업 총괄 임원,"IT컨설팅, 컨설턴트, 경영컨설팅, 경영혁신(PI), 네트워크",서울 강남구,경력 20년↑ · 정규직,대학교(4년)↑,채용시,6시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807267
현대에이치티(주),[경력] 안드로이드 Android Framework 개발자 모집,"임베디드, Android, C++, Java, OpenGL",서울 영등포구,3 ~ 20년 · 정규직,대학교(4년)↑,~02.19(수),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807206
(주)리버스아이티,DBA 채용,"DBA, SE(시스템엔지니어), 네트워크, DBMS, RDBMS",서울전체 외,1 ~ 15년 · 정규직,"대학(2,3년)↑",~02.18(화),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807204
(주)디오에프연구소,[DOF] HW Linux App 엔지니어 채용,"SE(시스템엔지니어), 임베디드, H/W, Linux, 임베디드리눅스",서울전체 외,3 ~ 7년 · 정규직,"대학(2,3년)↑",~02.19(수),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807198
(주)사람인에이치에스,[평택/중견] 반도체 SW플랫폼 개발 정규직 채용 (성과급우수),"데이터엔지니어, 앱개발, 웹마스터, 유지보수, IT컨설팅",경기 평택시 외,경력 8년↑ · 정규직,대학교(4년)↑,~02.19(수),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807162
(주)에이디티,"GUI S/W 설계,개발 채용(15년↑)","웹개발, 프론트엔드, SE(시스템엔지니어), S/W, C#",경기전체 외,15 ~ 20년 · 정규직,대학교(4년)↑,~02.18(화),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807147
주식회사 더리얼,[워라밸(4.5일근무)]개발(웹풀스택) java 경력자 모집,"Java, JSP, 풀스택, 앱개발, 웹개발",서울 강남구,경력 5년↑ · 정규직,학력무관,~02.19(수),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807141
그레이스앤파트너스(주),Oracle DBA/(3~16년 이하) - 금융그룹 ICT,"DBA, DBMS, 솔루션, ETL, SQL",서울 강남구,경력 15년↑ · 정규직,대학교(4년)↑,~02.19(수),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807129
(주)스카우트,"PI, IT, DT, 기준정보 컨설턴트","IT컨설팅, 컨설턴트, 경영컨설팅, 경영혁신(PI), DT",서울 강남구,경력 5년↑ · 정규직,대학교(4년)↑,채용시,7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807122
(주)에이디티,"GUI S/W 설계,개발 채용(10년↑)","웹개발, 프론트엔드, SE(시스템엔지니어), S/W, C#",경기전체 외,10 ~ 14년 · 정규직,대학교(4년)↑,~02.18(화),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807109
(주)퍼즐데이터,[퍼즐데이터] 데이터분석가 채용(신입/경력),"데이터분석가, PM(프로젝트매니저), 데이터분석, 빅데이터, Python",서울 강남구,신입 · 경력 · 정규직,대학교(4년)↑,~02.19(수),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807107
(주)에이디티,"GUI S/W 설계,개발 채용(5년↑)","웹개발, 프론트엔드, SE(시스템엔지니어), S/W, C#",경기전체 외,5 ~ 9년 · 정규직,대학교(4년)↑,~02.18(화),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807095
(주)포바이포,[코스닥상장사] 미디어아트 / 전시 콘텐츠기획 경력직,"AR(증강현실), VR(가상현실), 뉴미디어, 영상제작, 콘텐츠기획",서울 서초구,3 ~ 10년 · 정규직,학력무관,~03.21(금),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807033
(주)인성디지탈,[인성디지탈]주니퍼 네트웍스 총판 기술지원 신입 엔지니어 채용,"기술지원, 솔루션, 인프라, 솔루션기술영업, 유지보수",서울 송파구,경력무관 · 정규직,"대학(2,3년)↑",채용시,7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807031
한국지멘스일렉트로닉디자인오토메이션(유),Associate Application Engineer - Calibre DS 신입 채용,"기술지원, S/W, 반도체, Python",경기 성남시 분당구,신입 · 정규직,대학교(4년)↑,~02.03(월),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806988
(주)이엠씨랩스,전자파(EMC) 시험 연구원 신입사원 모집,"IT컨설팅, 정보통신, 연구원, 기술연구, 전자파",경기 이천시,신입 · 정규직,"대학(2,3년)↑",~02.19(수),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806980
(주)스탬퍼,[신입] 블록체인 엔지니어(Blockchain Engineer) 정규직 모집,"블록체인, DevOps, Linux, Unix, 데이터분석",서울 강남구,신입 · 정규직,대학교(4년)↑,~02.03(월),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806960
(주)필옵틱스,[비전제어/PC제어] SW기술 인재 채용,"유지보수, 네트워크, 솔루션, 인프라, 클라우드",경기 오산시,경력 3년↑ · 정규직,대학교(4년)↑,~02.02(일),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806943
(주)카카오엔터테인먼트,[판교] 타파스 콘텐츠 데이터 분석 담당자,"데이터분석가, 빅데이터, 통계/분석, 경영분석, 데이터분석",경기 성남시 분당구,1 ~ 2년 · 정규직,학력무관,~02.03(월),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806926
에이스휴먼파워(주),[급여협의/광화문사옥] 라이나원 IT 서포트 어시스턴트 채용,"기술지원, 계산서발행, 전표입력, ERP, 사무직",서울전체 외,경력무관 · 파견직,"대학(2,3년)↑",내일마감,7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806790
(주)아이오티스페이스,[영등포] 스마트기기 설치 및 납품 정규직 모집,"기술지원, 네트워크, 기술영업, 네트워크영업, 영업",서울 영등포구,경력무관 · 정규직,"대학(2,3년)↑",~02.02(일),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806749
(주)코비그룹,Backend Junior Engineer (PHP / Python),"백엔드/서버개발, 웹개발, 프론트엔드, SE(시스템엔지니어), 인프라",서울전체 외,신입 · 경력 · 정규직,"대학(2,3년)↑",~02.22(토),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806718
(주)아이오티스페이스,[영등포]화상회의 / 오디오 / 네트워크 기술직 채용 신입/경력,"기술지원, 네트워크, 네트워크영업, 영업, 유지보수",서울 영등포구,경력무관 · 정규직,"대학(2,3년)↑",~02.02(일),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806709
㈜에스엠투네트웍스,[삼화페인트계열사] 전산시스템관리 계약직 채용,"SE(시스템엔지니어), 네트워크, 정보통신, H/W, IDC",경기 안양시 동안구,경력무관 · 계약직,"대학(2,3년)↑",~02.28(금),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806707
(주)커런시유나이티드,AI/딥러닝 엔지니어를 모십니다. (신입/경력),"백엔드/서버개발, 프론트엔드, QA/테스터, 블록체인, 빅데이터",서울 마포구,신입 · 경력 · 정규직,대학교(4년)↑,채용시,7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806694
가이스HRG,펌웨어 Engineer,"임베디드, 펌웨어, C언어, C++, Git",서울 강남구,경력 3년↑ · 정규직,대학교(4년)↑,~02.19(수),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806638
그레이스앤파트너스(주),SW 전문기업에서 개발 PL 초빙,"개발PM, 클라우드, DBMS, 인터페이스, Java",서울 강남구,12 ~ 18년 · 정규직,"대학(2,3년)↑",~02.19(수),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806622
주연아이티(주),전산 유지관리 정규직 채용 - 신입및경력사원,"기술지원, 유지보수, 네트워크, 정보통신, CCTV공사",경기 군포시,신입 · 경력 · 정규직,고졸↑,~02.19(수),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806601
라인서치,유명 반도체 Foundry(TSMC) 공정/제품개발 및 양산 제품관리 (D),"FPGA, H/W, C++, C언어, Perl",경기 성남시 분당구,3 ~ 15년 · 정규직,대학교(4년)↑,~02.19(수),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806593
(주)동우지씨에스,자동화솔루션 분야 신입/경력 선발 (시흥),"자동제어, HMI, PLC, SCADA, plc",경기 시흥시,신입 · 경력 · 정규직,"대학(2,3년)↑",~02.02(일),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806572
라인서치,유명 반도체 팹리스 Package Designer (D),"FPGA, H/W, C++, C언어, Perl",경기 성남시 분당구,3 ~ 15년 · 정규직,대학교(4년)↑,~02.19(수),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806546
주식회사베가엑스홀딩스코리아,그래픽/웹 디자이너 경력,"프론트엔드, CSS, HTML, Javascript, 그래픽디자인",서울 강남구 외,경력 2년↑ · 정규직,대학교(4년)↑,~02.18(화),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806540
(주)넥스트아이티에스,LLM 기반 풀스택 개발자 모집,"AI(인공지능), Javascript, JSP, Python, 풀스택",서울 마포구,경력 1년↑ · 정규직,대학교(4년)↑,~03.21(금),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806529
라인서치,유명 반도체 팹리스 TEST 엔지니어 (D),"FPGA, H/W, C++, C언어, Perl",경기 성남시 분당구,3 ~ 12년 · 정규직,대학교(4년)↑,~02.19(수),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806523
(주)인핸스파트너스,글로벌회사 IT Application Engineer,"SE(시스템엔지니어), 유지보수, 솔루션, C#, C++",서울 서초구,6 ~ 12년 · 정규직,대학교(4년)↑,~01.29(수),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806514
주식회사 아토모스,[아토모스] 프론트/백엔드 개발자 채용(서울근무가능자),"백엔드/서버개발, 프론트엔드, API, DevOps, 아키텍쳐",서울 성동구,경력 3년↑ · 정규직 외,학력무관,~02.19(수),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806508
라인서치,유명 반도체 팹리스 Package PI SI simulaiton (D),"FPGA, C++, C언어, Perl, Python",경기 성남시 분당구,3 ~ 12년 · 정규직,대학교(4년)↑,~02.19(수),7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806501
(주)데이블,Senior Data Scientist (3년 이상),"데이터 사이언티스트, 딥러닝, 클라우드, AWS, Python",서울 강남구,3 ~ 7년 · 정규직,대학교(4년)↑,상시채용,7시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806477
커리어위즈,하드웨어 개발/열화상 기술 전문 방산기업,"H/W, 설계엔지니어, 회로설계, Altium, OrCAD",서울 금천구,5 ~ 10년 · 정규직,"대학(2,3년)↑",채용시,8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806447
(주)미스고,[미스고부동산] QA 채용,"QA/테스터, Git",서울전체 외,2 ~ 10년 · 정규직,학력무관,~02.18(화),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806432
