회사명,공고제목,직무분야,근무지,경력/고용형태,학력,마감일,등록일,공고URL
엘림써치,(국내 석유화학 제조 대기업)  IT (네트워크 설계/운영),"백엔드/서버개발, 앱개발, 웹개발, IT컨설팅, ICT컨설팅",서울 중구,4 ~ 13년 · 정규직,대학교(4년)↑,~02.19(수),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49808139
엘림써치,(국내 석유화학 제조 대기업) IT(SAP CO 모듈 운영 및 ABAP 개발,"게임개발, 백엔드/서버개발, 앱개발, 웹개발, GM(게임운영)",서울 중구,3 ~ 13년 · 정규직,대학교(4년)↑,~02.19(수),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49808135
(주)사람인에이치에스,[평택/중견기업] 반도체 SW플랫폼 개발 정규직 채용(성과급우수),"데이터엔지니어, 앱개발, 웹마스터, 유지보수, IT컨설팅",경기 평택시 외,경력 8년↑ · 정규직,대학교(4년)↑,채용시,3시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49808122
엘림써치,(영국계 유명 국제학교)  IT Technician (영어 가능자),"보안컨설팅, 유지보수, 정보보안, IT컨설팅, 네트워크",서울 서초구,경력 3년↑ · 정규직,대학교(4년)↑,~02.19(수),3시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49808121
(주)사람인에이치에스,[서울/정규직/고성과급] 리눅스 엔지니어 채용,"기술지원, 앱개발, 웹개발, 유지보수, 프론트엔드",서울 동작구 외,경력 2년↑ · 정규직,학력무관,채용시,3시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49808038
시큐와우(주),"Java,C,C++,서버구축,DB,스크립트 개발자 모집 (경력우대)","정보보안, 스크립트, C++",경기 안양시 동안구,신입 · 경력 · 정규직,대학교(4년)↑,~02.19(수),4시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49808023
코리아써치,인공지능/컴퓨터 비전 연구개발 신입/경력(C / C++ / Python),"컴퓨터비전, AI(인공지능), 딥러닝, 알고리즘, C++",서울 중구,경력 10년↑ · 정규직,석사↑,~02.04(화),4시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49808016
(주)스카우트파트너스,수입 자동차 회사 Sr. IT Infra & Security Manager,"기술지원, 유지보수, 정보보안, SE(시스템엔지니어), 네트워크",서울 종로구,15 ~ 20년 · 정규직,대학교(4년)↑,채용시,4시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49808012
(주)삼성피엘,KT 휴대폰 개통 전산 사무 신입/경력 사원 채용,정보통신,경기 안양시 동안구,경력무관 · 정규직,학력무관,~02.19(수),4시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807998
코리아써치,"알고리즘 소프트웨어 개발(전기공학or전력전자공학,석사이상)","알고리즘, 알고리즘개발, 유지보수, 임베디드, 펌웨어",서울 송파구,경력 5년↑ · 정규직,석사↑,~02.04(화),4시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807997
(주)에이치알글로벌네트워크,op[중견/코스닥/가상웨어/서초]en 4. 백업솔루션 엔지니어,"미들웨어, 솔루션, 클라우드, DevOps, 기술지원",서울 서초구,3 ~ 10년 · 정규직,"대학(2,3년)↑",~02.19(수),4시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807959
(주)에이치알글로벌네트워크,op[중견/코스닥/가상웨어/서초]en 3. VmWare 엔지니어(네트워크),"데이터엔지니어, 유지보수, 네트워크, 인프라, VMware",서울 서초구,3 ~ 10년 · 정규직,"대학(2,3년)↑",~01.31(금),4시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807957
(재)한국기계전기전자시험연구원,JAVA 웹 개발자 모집 경력직 채용(중급),"웹개발, Java, Spring, Linux",경기 군포시,경력 5년↑ · 계약직,대학교(4년)↑,~02.09(일),4시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807947
(재)한국기계전기전자시험연구원,JAVA 웹 개발자 모집 경력직 채용(초급),"웹개발, Java, Spring, Linux",경기 군포시,경력 3년↑ · 계약직,"대학(2,3년)↑",~02.09(일),4시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807940
한무컨벤션주식회사,한무컨벤션(주) 호텔 전산지원팀 직원 모집,네트워크,서울 강남구,신입 · 정규직 외,"대학(2,3년)↑",~02.19(수),4시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807919
(재)한국기계전기전자시험연구원,전기차충전기술센터 연구용역 수행 보조 계약직 모집,"정보통신, 사무보조, 사무행정, 연구원, 기술연구",경기 군포시,신입 · 계약직,"대학(2,3년)↑",~02.09(일),4시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807879
(주)스카우트파트너스,가전 UXUI 디자인총괄 (이커머스.유통.제조사.10-20)대기업,"백엔드/서버개발, IT컨설팅, ICT컨설팅, 네트워크, 미들웨어",서울 강남구,8 ~ 20년 · 정규직,대학교(4년)↑,~02.19(수),5시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807810
(주)텍트원,JAVA JSP Springframe egov 개발자 경력[안양],"백엔드/서버개발, 웹개발, 웹마스터, 프론트엔드, SI개발",서울전체 외,경력 1년↑ · 정규직 외,"대학(2,3년)↑",~02.19(수),5시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807790
(주)리소씨앤에스,[유지보수] 기술지원 및 PC조립 담당자 채용,"유지보수, 기술지원",서울 영등포구,경력무관 · 정규직,학력무관,~02.19(수),5시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807748
(주)에이치알글로벌네트워크,ma[중소/IT/문서보안/자사솔루션]rk 인공지능 컴퓨터비전 R&D,"SI개발, ICT컨설팅, 알고리즘, 컴퓨터비전, C++",서울 중구,10 ~ 20년 · 정규직,석사↑,~02.04(화),5시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807736
펌텍코리아(주),펌텍코리아(주) 전산 개발 및 유지보수 경력자 모집 채용 공고,"ERP, 유지보수",인천 부평구,경력(년수무관) · 정규직,"대학(2,3년)↑",채용시,5시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807709
(주)제이엔테크놀러지,IT 인프라 구축 및 운영 기술지원,"기술지원, 백엔드/서버개발, 프론트엔드, 네트워크, Linux",경기 화성시 외,경력 3년↑ · 정규직,대학교(4년)↑,채용시,5시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807704
(주)에이치알글로벌네트워크,oc[중견계열/코스피/태양광발전/송파]po 제어알고리즘SW 개발,"솔루션, 알고리즘, 아키텍쳐",서울 송파구,5 ~ 13년 · 정규직,석사↑,~02.19(수),5시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807695
주식회사 세오,(주)세오 인공지능연구원 모집,"앱개발, 웹개발, Windows, .NET, C#",경기 안양시 동안구,신입 · 경력 · 정규직,대학교(4년)↑,~02.19(수),5시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807693
(주)제이엔테크놀러지,IT 인프라 구축 / 기술지원 엔지니어,"기술지원, 네트워크, 미들웨어, 솔루션, 인프라",서울 구로구,신입 · 경력 · 정규직,대학교(4년)↑,채용시,6시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807679
(주)맨파워그룹코리아,[IT] 글로벌 화학기업 Power Platform Developer (서울/천안),"기술지원, 백엔드/서버개발, 앱개발, 웹개발, 유지보수",서울 강남구,경력(년수무관) · 파견직,"대학(2,3년)↑",~02.19(수),6시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807665
(주)에어에이알,[AIRAR] 경력직 유니티 개발자 채용,"Android, C#, Flutter, iOS, Unity",서울 마포구,경력 3년↑ · 정규직,"대학(2,3년)↑",~02.19(수),6시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807657
비댁스(주),가상자산서비스  프론트엔드 엔지니어,"백엔드/서버개발, 프론트엔드, 모델링, 블록체인, ISMS",서울 강남구,경력 10년↑ · 정규직,학력무관,~02.19(수),6시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807615
(주)지란지교에스앤씨,QA 엔지니어 모집,"QA/테스터, 정보보안",서울 송파구,경력무관 · 계약직,학력무관,~02.19(수),6시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807611
(주)오렌지씨큐리티,정보보안 컨설턴트 신입 /경력 채용,"보안컨설팅, 정보보안, 네트워크, 모의해킹, 취약점진단",서울 강남구,신입 · 경력 · 정규직,"대학(2,3년)↑",~02.19(수),6시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807597
(주)지필로스,"[지필로스] 개발본부 S/W, H/W개발, 기구설계 업무 담당자 모집","알고리즘, 펌웨어, 신재생에너지, 알고리즘개발, 설계엔지니어",경기전체 외,경력무관 · 정규직,대학교(4년)↑,채용시,6시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49807592
